Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - 24Kick,https://www.crunchbase.com/funding_round/24kick-angel--7f22f7a7,24Kick,https://www.crunchbase.com/organization/24kick,Angel,10000000,CNY,1440092,2018-10-25
Seed Round - Maisi Math,https://www.crunchbase.com/funding_round/maisi-math-seed--68f7d4d2,Maisi Math,https://www.crunchbase.com/organization/maisi-math,Seed,,,,2018-09-19
Series A - Pharmcube,https://www.crunchbase.com/funding_round/pharmcube-series-a--ca301026,Pharmcube,https://www.crunchbase.com/organization/pharmcube,Series A,,,,2018-09-17
Angel Round - Beijing Haolang Technology,https://www.crunchbase.com/funding_round/beijing-haolang-technology-angel--31ac6f73,Beijing Haolang Technology,https://www.crunchbase.com/organization/beijing-haolang-technology,Angel,,,,2018-09-12
Series A - Seengene,https://www.crunchbase.com/funding_round/seengene-series-a--6153e26d,Seengene,https://www.crunchbase.com/organization/seengene,Series A,120000000,CNY,17498833,2018-08-20
Seed Round - Ehomepoct,https://www.crunchbase.com/funding_round/ehomepoct-seed--aa331b53,Ehomepoct,https://www.crunchbase.com/organization/ehomepoct,Seed,10000000,CNY,1458236,2018-08-20
Series A - VACKBOT,https://www.crunchbase.com/funding_round/vackbot-series-a--42be6bd2,VACKBOT,https://www.crunchbase.com/organization/vackbot,Series A,,,,2018-07-16
Series C - Yunding Technology,https://www.crunchbase.com/funding_round/yunding-technology-series-c--4a091c87,Yunding Technology,https://www.crunchbase.com/organization/yunding-technology,Series C,40000000,USD,40000000,2018-07-12
Seed Round - Changchang Kid's English,https://www.crunchbase.com/funding_round/changchang-kid-s-english-seed--9bc81ba3,Changchang Kid's English,https://www.crunchbase.com/organization/changchang-kid-s-english,Seed,,,,2018-07-06
Series B - HiFiBiO,https://www.crunchbase.com/funding_round/hifibio-series-b--a1f239c0,HiFiBiO,https://www.crunchbase.com/organization/hifibio,Series B,37500000,USD,37500000,2018-05-16
Series C - Dding,https://www.crunchbase.com/funding_round/dding-series-c--36d14e39,Dding,https://www.crunchbase.com/organization/dding,Series C,17400000,USD,17400000,2018-03-19
Series A - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-a--8c771bf6,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Series A,112000000,USD,112000000,2018-01-15
Series A - Panda Insurance,https://www.crunchbase.com/funding_round/panda-insurance-series-a--ac6d2861,Panda Insurance,https://www.crunchbase.com/organization/panda-insurance,Series A,7700000,USD,7700000,2018-01-08
Series A - Moyunsec.com,https://www.crunchbase.com/funding_round/moyunsec-com-series-a--08cb83ac,Moyunsec.com,https://www.crunchbase.com/organization/moyunsec-com,Series A,3000000,USD,3000000,2017-11-30
Series A - Chedaidai,https://www.crunchbase.com/funding_round/chedaidai-series-a--db16ac0f,Chedaidai,https://www.crunchbase.com/organization/chedaidai,Series A,9000000,USD,9000000,2017-11-27
Series B - Ripcord,https://www.crunchbase.com/funding_round/ripcord-2-series-b--bf3adb56,Ripcord,https://www.crunchbase.com/organization/ripcord-2,Series B,25000000,USD,25000000,2017-08-17
Angel Round - Qingzhi,https://www.crunchbase.com/funding_round/qingzhi-angel--1830fd88,Qingzhi,https://www.crunchbase.com/organization/qingzhi,Angel,,,,2017-06-01
Series A - Ripcord,https://www.crunchbase.com/funding_round/ripcord-2-series-a--44b38b58,Ripcord,https://www.crunchbase.com/organization/ripcord-2,Series A,7500000,USD,7500000,2017-03-23
