Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Urban Fable Basketball Club (Beijing) Co.,https://www.crunchbase.com/funding_round/urban-fable-basketball-club-beijing-co-series-a--6c76908e,Urban Fable Basketball Club (Beijing) Co.,https://www.crunchbase.com/organization/urban-fable-basketball-club-beijing-co,Series A,,,,2018-10-30
Series C - Qinbaobao,https://www.crunchbase.com/funding_round/qinbaobao-series-c--0279371b,Qinbaobao,https://www.crunchbase.com/organization/qinbaobao,Series C,,,,2018-10-29
Series A - Huiling Technology (Hitbot),https://www.crunchbase.com/funding_round/huiling-technology-hitbot-series-a--c6068e15,Huiling Technology (Hitbot),https://www.crunchbase.com/organization/huiling-technology-hitbot,Series A,30000000,CNY,4311521,2018-10-26
Series A - Truebil,https://www.crunchbase.com/funding_round/truebil-series-a--a2adb66e,Truebil,https://www.crunchbase.com/organization/truebil,Series A,2000000,USD,2000000,2018-10-16
Series B - Xingkeduo,https://www.crunchbase.com/funding_round/xingkeduo-series-b--967ea36c,Xingkeduo,https://www.crunchbase.com/organization/xingkeduo,Series B,100000000,CNY,14514630,2018-10-11
Series F - Meicai,https://www.crunchbase.com/funding_round/meicai-series-f--d65c40e2,Meicai,https://www.crunchbase.com/organization/meicai,Series F,800000000,USD,800000000,2018-10-08
Series B - Rokae,https://www.crunchbase.com/funding_round/rokae-series-b--8ced4a34,Rokae,https://www.crunchbase.com/organization/rokae,Series B,160000000,CNY,23331437,2018-09-21
Series C - ShareChat,https://www.crunchbase.com/funding_round/sharechat-series-c--0fe38b66,ShareChat,https://www.crunchbase.com/organization/sharechat,Series C,99230000,USD,99230000,2018-09-19
Series B - Anxinji,https://www.crunchbase.com/funding_round/anxinji-series-b--aefcda91,Anxinji,https://www.crunchbase.com/organization/anxinji,Series B,14600000,USD,14600000,2018-09-17
Series A - Vokal,https://www.crunchbase.com/funding_round/oktalk-series-a--409ddbe8,Vokal,https://www.crunchbase.com/organization/oktalk,Series A,1500000,USD,1500000,2018-09-12
Series A - Upwards Fintech,https://www.crunchbase.com/funding_round/upwards-fintech-pvt-ltd-series-a--5555bc9d,Upwards Fintech,https://www.crunchbase.com/organization/upwards-fintech-pvt-ltd,Series A,5000000,USD,5000000,2018-09-11
Series A - Warp-Tech,https://www.crunchbase.com/funding_round/warp-tech-series-a--ca8f5a84,Warp-Tech,https://www.crunchbase.com/organization/warp-tech,Series A,,,,2018-09-06
Series D - Shansong (FlashEX),https://www.crunchbase.com/funding_round/shansong-series-d--d6ed0172,Shansong (FlashEX),https://www.crunchbase.com/organization/shansong,Series D,60000000,USD,60000000,2018-08-28
